Airfoil,Disp_CP1,Disp_CP2,Disp_CP3,Disp_CP4,Disp_CP5,Disp_CP6,Disp_CP7,Disp_CP8,Disp_CP9,Disp_CP10,RMSPct_Cl,RMSPct_Cd,RMSPct_Cm
000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.110000,0.610000,0.530000
001,-0.009800,-0.002100,0.006500,0.007360,-0.001330,-0.013330,-0.019900,-0.016810,-0.008700,-0.003140,11.250000,4.160000,33.200000
002,-0.002990,-0.008370,-0.006460,0.004980,0.015610,0.017400,0.009290,-0.004240,-0.016490,-0.023280,1.130000,4.480000,1.140000
003,0.007100,0.002240,-0.001960,-0.000520,0.005390,0.009310,0.006980,0.002340,0.001830,0.004460,15.750000,2.250000,3.330000
004,0.013390,0.010080,0.005300,-0.000440,-0.008280,-0.017080,-0.021610,-0.017960,-0.008650,-0.000930,12.280000,2.140000,4.990000
005,-0.010200,0.004660,0.025870,0.040180,0.037260,0.023080,0.014540,0.016210,0.020010,0.021420,160.190000,8.240000,7.050000
006,0.001410,0.003990,0.005400,0.004510,0.003850,0.005410,0.008810,0.012490,0.015460,0.017190,2.440000,1.080000,3.110000
007,0.042130,0.033170,0.020020,0.008550,0.003320,0.004710,0.007240,0.006700,0.005020,0.004430,34.110000,4.320000,46.120000
008,0.013100,0.014520,0.012070,0.006220,0.006170,0.015470,0.023540,0.019560,0.006570,-0.003970,5.790000,9.150000,3.910000
009,0.023260,0.016770,0.006220,-0.003910,-0.007530,-0.003590,0.000110,-0.000610,-0.000390,0.002330,68.770000,5.980000,423.660000
